instance,family,n,alpha,phase,tier,obj,ub,gap_pct,seeds,phase_rt,cumul_rt,event
ED_n080_045_a75_135,ED,80,0.75,1,0,2922.0,2943,0.7135575942915392,1,109.9248774999287,109.92493689991534,OBJ+3 tier->0
ED_n080_045_a75_135,ED,80,0.75,2,0,2923.0,2943,0.6795786612300373,1,91.27697880007327,201.20196029986255,OBJ+1 tier->0
ED_n080_045_a75_135,ED,80,0.75,3,1,2923.0,2943,0.6795786612300373,1,92.4037895000074,293.60578569979407,STALL→tier0→1 d_max=17
ED_n080_045_a75_135,ED,80,0.75,4,2,2923.0,2943,0.6795786612300373,1,97.85998130007647,415.3812082000077,STALL→tier1→2 d_max=23
ED_n080_045_a75_135,ED,80,0.75,5,3,2923.0,2943,0.6795786612300373,1,118.29671370005235,564.1426454999018,TIERS_EXHAUSTED
EB_n150_030_a50_089,EB,150,0.5,1,0,4889.0,4944,1.1124595469255663,1,92.17822809983045,92.17826660000719,OBJ+3 tier->0
EB_n150_030_a50_089,EB,150,0.5,2,0,4897.0,4944,0.9506472491909385,1,91.69206549995579,183.87038340000436,OBJ+8 tier->0
EB_n150_030_a50_089,EB,150,0.5,3,0,4898.0,4944,0.9304207119741101,1,93.41199659998529,277.28242709999904,OBJ+1 tier->0
EB_n150_030_a50_089,EB,150,0.5,4,0,4900.0,4944,0.889967637540453,1,103.29357969993725,380.5760363000445,OBJ+2 tier->0
EB_n150_030_a50_089,EB,150,0.5,5,1,4900.0,4944,0.889967637540453,1,90.87168679991737,471.44776930008084,STALL→tier0→1 d_max=23
EB_n150_030_a50_089,EB,150,0.5,6,2,4900.0,4944,0.889967637540453,1,90.57330249994993,580.9762744000182,STALL→tier1→2 d_max=31
EB_n150_030_a50_089,EB,150,0.5,7,0,4907.0,4944,0.7483818770226537,1,91.55938480002806,678.2301914000418,OBJ+7 tier->0
EB_n150_030_a50_089,EB,150,0.5,8,0,4909.0,4944,0.7079288025889968,1,90.35519579984248,768.5854162999894,OBJ+2 tier->0
EB_n150_030_a50_089,EB,150,0.5,9,1,4909.0,4940,0.6275303643724697,1,90.52887829998508,859.114336800063,STALL→tier0→1 d_max=23
EB_n150_030_a50_089,EB,150,0.5,10,2,4909.0,4936,0.547001620745543,1,27.850432600127533,901.2052383001428,STALL→tier1→2 d_max=31
ED_n080_045_a25_133,ED,80,0.25,1,0,1569.0,1710,8.24561403508772,1,90.9697457998991,90.96979430015199,OBJ+212 tier->0
ED_n080_045_a25_133,ED,80,0.25,2,0,1670.0,1710,2.3391812865497075,1,90.42059019999579,181.39043080015108,OBJ+101 tier->0
ED_n080_045_a25_133,ED,80,0.25,3,1,1670.0,1710,2.3391812865497075,1,90.87873229989782,272.2692104000598,STALL→tier0→1 d_max=8
ED_n080_045_a25_133,ED,80,0.25,4,0,1678.0,1710,1.8713450292397662,1,90.3964405998122,389.6926281999331,OBJ+8 tier->0
ED_n080_045_a25_133,ED,80,0.25,5,0,1679.0,1710,1.8128654970760234,1,97.65003159991466,487.3426975000184,OBJ+1 tier->0
ED_n080_045_a25_133,ED,80,0.25,6,0,1680.0,1710,1.7543859649122806,1,90.04433519998565,577.3870790000074,OBJ+1 tier->0
ED_n080_045_a25_133,ED,80,0.25,7,1,1680.0,1707,1.5817223198594026,1,92.85595720005222,670.2430668999441,STALL→tier0→1 d_max=8
ED_n080_045_a25_133,ED,80,0.25,8,2,1680.0,1698,1.0600706713780919,1,103.72273269994184,802.6777522000484,STALL→tier1→2 d_max=11
ED_n080_045_a25_133,ED,80,0.25,9,3,1680.0,1694,0.8264462809917356,1,67.6903927999083,900.5791569999419,TIERS_EXHAUSTED
EC_n080_035_a50_104,EC,80,0.5,1,1,2665.0,2695,1.1131725417439702,1,90.27023100014776,90.27027120022103,STALL→tier0→1 d_max=13
